image_name,tags
test_579,primary clear
test_580,primary habitation clear road agriculture
test_581,primary clear road agriculture water
test_582,cultivation primary clear agriculture water
test_583,primary habitation clear road agriculture
test_584,cultivation primary clear agriculture
test_585,primary clear water
test_586,primary clear road agriculture water
test_587,cultivation primary habitation clear road agriculture
test_588,primary clear
test_589,primary partly_cloudy
test_590,primary clear
test_591,primary clear road agriculture
test_592,cultivation primary habitation clear road agriculture
test_593,primary clear
test_594,cultivation primary clear road agriculture water
test_595,primary partly_cloudy
test_596,artisinal_mine primary clear road agriculture water
test_597,cultivation primary clear partly_cloudy agriculture
test_598,cultivation primary partly_cloudy agriculture
test_599,primary clear
test_600,primary clear
test_601,haze primary clear road agriculture water
test_602,cloudy
test_603,primary clear
test_604,clear water cloudy
test_605,primary partly_cloudy
test_606,primary habitation clear road agriculture
test_607,primary partly_cloudy
test_608,cultivation primary habitation clear road partly_cloudy agriculture
test_609,haze primary clear
test_610,primary clear
test_611,artisinal_mine primary habitation clear road agriculture water
test_612,primary clear
test_613,primary partly_cloudy
test_614,primary clear
test_615,cultivation primary clear agriculture water
test_616,primary clear
test_617,primary clear
test_618,primary clear
test_619,artisinal_mine primary habitation clear road agriculture water
test_620,cultivation primary clear agriculture
test_621,primary clear
test_622,cultivation primary clear agriculture
test_623,primary clear
test_624,primary clear
test_625,primary clear
test_626,primary clear
test_627,cultivation primary clear agriculture
test_628,primary clear
test_629,primary clear
test_630,primary habitation clear road agriculture
test_631,haze primary road agriculture water
test_632,cloudy
test_633,primary clear road water
test_634,primary clear road agriculture
test_635,primary clear
test_636,primary clear
test_637,primary clear
test_638,primary clear
test_639,cultivation primary clear agriculture
test_640,primary clear
test_641,primary clear road agriculture water
test_642,bare_ground artisinal_mine primary habitation clear road agriculture water
test_643,cultivation primary clear agriculture
test_644,primary clear
test_645,primary partly_cloudy
test_646,primary partly_cloudy
test_647,cultivation primary clear agriculture
test_648,primary habitation clear road agriculture
test_649,cultivation primary habitation clear road agriculture water
test_650,primary clear road agriculture water
test_651,primary habitation clear road agriculture water
test_652,primary clear
test_653,cultivation primary clear partly_cloudy agriculture water
test_654,haze primary cloudy
test_655,primary clear
test_656,primary clear
test_657,cultivation primary habitation road partly_cloudy agriculture water
test_658,primary clear road water
test_659,primary clear
test_660,primary clear
test_661,primary clear
test_662,primary partly_cloudy
test_663,primary partly_cloudy agriculture water
test_664,cloudy
test_665,primary clear
test_666,primary clear
test_667,primary clear
test_668,primary clear agriculture water
test_669,primary clear
test_670,primary partly_cloudy agriculture
test_671,bare_ground primary clear road agriculture
test_672,primary clear
test_673,haze primary clear
test_674,primary partly_cloudy
test_675,haze primary
test_676,cultivation primary clear road agriculture
test_677,primary clear partly_cloudy
test_678,primary clear road agriculture
test_679,haze primary cloudy
test_680,cultivation primary clear agriculture
test_681,primary clear
test_682,primary clear
test_683,primary partly_cloudy
test_684,primary clear
test_685,cultivation primary habitation clear road agriculture water
test_686,primary clear
test_687,cloudy
test_688,primary clear road agriculture
test_689,primary clear road agriculture water
test_690,primary clear
test_691,cultivation primary partly_cloudy agriculture
test_692,haze primary
test_693,primary clear agriculture water
test_694,cultivation primary clear agriculture
test_695,cultivation primary clear agriculture
test_696,primary clear agriculture water
test_697,primary partly_cloudy
test_698,primary clear water
test_699,cultivation primary clear partly_cloudy agriculture
test_700,cloudy
test_701,primary habitation clear road agriculture
test_702,cloudy
test_703,primary clear water
test_704,primary clear
test_705,primary clear
test_706,primary clear
test_707,primary clear road agriculture water
test_708,primary clear
test_709,cloudy
test_710,primary clear
test_711,haze primary clear
test_712,primary partly_cloudy
test_713,primary clear
test_714,cloudy
test_715,primary partly_cloudy
test_716,primary clear
test_717,primary clear
test_718,cultivation primary road partly_cloudy agriculture
test_719,primary clear
test_720,primary clear road agriculture water
test_721,primary clear
test_722,primary clear
test_723,cultivation primary habitation clear road partly_cloudy agriculture water
test_724,primary habitation clear road agriculture
test_725,artisinal_mine primary habitation clear road agriculture water
test_726,primary clear
test_727,primary road partly_cloudy agriculture water
test_728,primary clear
test_729,cultivation primary clear agriculture
test_730,cultivation primary clear agriculture
test_731,primary clear
test_732,primary clear
test_733,haze primary clear
test_734,primary clear
test_735,cultivation primary clear road agriculture
test_736,primary clear road partly_cloudy agriculture water
test_737,primary clear road water
test_738,primary habitation clear road partly_cloudy agriculture
test_739,cultivation primary clear agriculture
test_740,primary clear agriculture
test_741,primary partly_cloudy agriculture water
test_742,primary clear
test_743,primary clear
test_744,cultivation primary habitation clear road agriculture
test_745,primary clear
test_746,primary partly_cloudy
test_747,primary clear road agriculture water
test_748,primary clear
test_749,primary partly_cloudy
test_750,primary habitation clear road agriculture
test_751,primary clear
test_752,haze primary partly_cloudy
test_753,primary clear
test_754,primary cloudy
test_755,haze primary
test_756,primary habitation clear road agriculture
test_757,primary clear
test_758,cloudy
test_759,primary partly_cloudy agriculture water
test_760,primary clear
test_761,primary partly_cloudy
test_762,primary clear
test_763,primary clear agriculture water
test_764,primary habitation clear road partly_cloudy agriculture
test_765,primary clear
test_766,primary clear
test_767,primary habitation clear road agriculture water
test_768,primary clear
test_769,haze primary cloudy
test_770,cultivation primary clear agriculture
test_771,cultivation primary clear agriculture
test_772,primary partly_cloudy agriculture
test_773,primary partly_cloudy agriculture
test_774,cultivation primary clear partly_cloudy agriculture
test_775,primary clear agriculture water
test_776,primary clear water
test_777,primary habitation clear road agriculture water
test_778,cultivation primary habitation clear road agriculture
test_779,primary clear
test_780,primary clear
test_781,primary habitation clear road agriculture
test_782,primary clear road partly_cloudy agriculture water
test_783,cloudy
test_784,cultivation primary clear agriculture
test_785,primary partly_cloudy
test_786,primary clear partly_cloudy
test_787,cultivation primary clear agriculture
test_788,cloudy
test_789,primary partly_cloudy agriculture
test_790,primary clear road water
test_791,haze primary clear agriculture water
test_792,primary clear
test_793,primary partly_cloudy
test_794,primary clear agriculture water
test_795,artisinal_mine primary clear water
test_796,primary clear
test_797,primary partly_cloudy
test_798,primary road partly_cloudy agriculture water
test_799,primary clear
test_800,primary clear
test_801,cultivation primary road partly_cloudy agriculture
test_802,primary habitation clear road agriculture
test_803,cultivation primary clear agriculture
test_804,haze primary clear
test_805,primary clear
test_806,primary clear
test_807,bare_ground primary clear road agriculture
test_808,primary clear
test_809,primary clear
test_810,primary partly_cloudy agriculture
test_811,primary clear
test_812,cultivation primary clear agriculture water
test_813,primary clear
test_814,primary clear water
test_815,primary clear
test_816,primary clear water
test_817,cloudy
test_818,primary habitation clear road agriculture
test_819,clear water cloudy
test_820,primary clear
test_821,bare_ground primary clear road agriculture
test_822,primary clear
test_823,cloudy
test_824,primary clear
test_825,haze primary road agriculture water
test_826,primary habitation clear road agriculture water
test_827,primary clear
test_828,haze primary clear
test_829,primary clear
test_830,haze primary water cloudy
test_831,primary clear
test_832,primary partly_cloudy
test_833,primary partly_cloudy agriculture
test_834,primary clear
test_835,primary clear
test_836,primary clear
test_837,primary clear agriculture water
test_838,cultivation primary habitation clear road agriculture
test_839,primary clear
test_840,primary clear
test_841,primary clear water
test_842,primary clear
test_843,haze primary cloudy
test_844,primary habitation road partly_cloudy agriculture
test_845,primary clear road agriculture
test_846,primary habitation clear road agriculture water
test_847,primary clear agriculture
test_848,cloudy
test_849,cloudy
test_850,primary clear agriculture water
test_851,primary clear
test_852,primary partly_cloudy
test_853,haze primary partly_cloudy
test_854,cultivation primary clear agriculture
test_855,primary clear
test_856,cultivation primary clear agriculture
test_857,primary partly_cloudy agriculture water
test_858,haze primary clear agriculture
test_859,cultivation primary clear agriculture
test_860,primary clear
test_861,primary clear
test_862,primary partly_cloudy
test_863,primary clear
test_864,primary clear
test_865,cloudy
test_866,primary partly_cloudy
test_867,cloudy
test_868,primary clear
test_869,primary clear
test_870,cultivation primary clear agriculture
test_871,primary partly_cloudy
test_872,primary clear road agriculture water
test_873,primary clear
test_874,primary clear
test_875,primary partly_cloudy
test_876,primary clear
test_877,cultivation primary road partly_cloudy agriculture
test_878,primary road partly_cloudy agriculture water
test_879,cultivation primary clear road agriculture
test_880,primary clear
test_881,cultivation primary clear road agriculture water
test_882,primary clear
test_883,haze primary cloudy
test_884,primary clear
test_885,primary clear
test_886,haze primary clear road agriculture water
test_887,primary habitation road partly_cloudy agriculture
test_888,primary partly_cloudy agriculture
test_889,haze primary
test_890,primary clear
test_891,cultivation primary habitation clear road agriculture
test_892,primary partly_cloudy
test_893,primary partly_cloudy
test_894,primary clear road agriculture water
test_895,bare_ground primary clear road agriculture
test_896,primary clear partly_cloudy water
test_897,haze primary cloudy
test_898,cloudy
test_899,bare_ground primary habitation clear road agriculture water
test_900,primary clear road agriculture
test_901,primary clear
test_902,haze primary cloudy
test_903,cultivation primary partly_cloudy agriculture
test_904,cultivation primary road partly_cloudy agriculture
test_905,primary clear
test_906,primary clear road agriculture
test_907,primary clear
test_908,primary clear
test_909,primary clear
test_910,cloudy
test_911,primary clear
test_912,cultivation primary clear agriculture
test_913,cultivation primary clear agriculture
test_914,haze primary clear agriculture water
test_915,primary clear
test_916,primary clear
test_917,haze primary agriculture water
test_918,primary clear
test_919,haze primary
test_920,primary clear
test_921,haze primary cloudy
test_922,cloudy
test_923,primary clear road agriculture water
test_924,primary partly_cloudy cloudy
test_925,haze primary cloudy
test_926,primary habitation clear road agriculture
test_927,primary clear water
test_928,primary habitation clear road agriculture water
test_929,primary partly_cloudy
test_930,primary clear road selective_logging water
test_931,primary clear
test_932,primary clear
test_933,primary clear
test_934,primary partly_cloudy
test_935,primary clear road water
test_936,primary partly_cloudy
test_937,haze primary cloudy
test_938,primary clear agriculture water
test_939,primary clear road water
test_940,primary clear
test_941,primary clear road agriculture
test_942,primary clear road agriculture
test_943,primary partly_cloudy
test_944,primary cloudy
test_945,primary clear
test_946,primary clear road water
test_947,primary partly_cloudy
test_948,primary clear water
test_949,cultivation primary clear agriculture
test_950,primary partly_cloudy
test_951,primary clear road partly_cloudy agriculture water
test_952,haze primary clear road agriculture
test_953,primary habitation clear road agriculture
test_954,primary partly_cloudy
test_955,primary clear agriculture water
test_956,primary partly_cloudy
test_957,primary road partly_cloudy agriculture water
test_958,haze primary habitation clear road agriculture water
test_959,haze primary cloudy
test_960,primary partly_cloudy
test_961,cultivation primary road partly_cloudy agriculture water
test_962,primary clear
test_963,cultivation primary habitation clear road agriculture
test_964,primary clear
test_965,primary clear
test_966,primary clear
test_967,primary clear
test_968,primary clear partly_cloudy agriculture water
test_969,primary clear
test_970,primary clear
test_971,primary clear
test_972,cultivation primary clear agriculture
test_973,cultivation primary partly_cloudy agriculture
test_974,bare_ground primary clear agriculture water
test_975,primary clear
test_976,cultivation primary clear agriculture
test_977,primary clear agriculture water
test_978,primary clear
test_979,primary partly_cloudy
test_980,primary habitation clear road agriculture water
test_981,primary clear agriculture
test_982,cultivation primary clear agriculture
test_983,primary clear
test_984,bare_ground primary habitation clear road agriculture
test_985,cultivation haze primary road partly_cloudy agriculture
test_986,primary clear
test_987,primary clear
test_988,primary clear
test_989,primary clear
test_990,haze primary
test_991,cultivation primary clear agriculture
test_992,primary clear
test_993,primary habitation clear road agriculture
test_994,primary clear road water
test_995,cultivation primary habitation clear road agriculture water
test_996,primary clear
test_997,primary clear
test_998,haze primary
test_999,primary clear
test_1000,cultivation primary clear agriculture water
test_1001,primary clear
test_1002,primary clear
test_1003,artisinal_mine primary clear road water
test_1004,haze primary clear road agriculture water
test_1005,primary clear
test_1006,primary clear partly_cloudy
test_1007,primary clear agriculture water
test_1008,primary partly_cloudy
test_1009,primary habitation clear road agriculture water
test_1010,cloudy
test_1011,primary clear
test_1012,primary clear
test_1013,primary partly_cloudy
test_1014,primary clear
test_1015,cultivation primary clear agriculture water
test_1016,cultivation primary habitation clear road agriculture water
test_1017,haze primary clear road agriculture water
test_1018,primary road partly_cloudy agriculture water
test_1019,primary habitation road partly_cloudy agriculture water
test_1020,cultivation primary clear road agriculture
test_1021,primary partly_cloudy
